#
# http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/ApJ/751/122/table2
#
# Age1: log(age), Hunter et al. (2003). 10.00 --> No age determination
# Age: log(age), MASSCLEAN
# Mass: MASSCLEAN derived mass.
# E, e: upper and lower uncertainties.
#
#Name                VMag     e      U-B     e      B-V     e      V-R     e     Age1   Age    E     e     Mass    E     e    SimbadName            _RA        _DE   
#                     mag    mag     mag    mag     mag    mag     mag    mag    [yr]   [yr]  [yr]  [yr]   Msun   Msun  Msun                        deg        deg   
KMK88-33.H88-194   -5.730  0.013  -0.689  0.006   0.077  0.014   0.136  0.026   7.72   7.61  0.02  0.06    2200   300   300  KMK88 33           077.83958  -69.31044
OGLE-LMC0297       -4.894  0.027   0.264  0.043   1.198  0.047   0.627  0.039  10.00   7.61  0.42  0.05     200   400     0  OGLE-CL LMC 0297   079.21696  -69.07039
NGC1711.SL55       -9.110  0.003  -0.468  0.002  -0.003  0.003   0.077  0.007   7.70   7.61  0.12  0.03   37000  8000  2000  NGC1711            072.65417  -69.98500
NGC1860.SL284      -6.036  0.020  -0.209  0.011   0.023  0.022   0.052  0.036   7.29   7.61  0.21  0.02    1300   500   400  NGC1860            077.66612  -68.75361
SL255.BRHT30a      -6.136  0.011  -0.367  0.005   0.170  0.011   0.081  0.022   7.19   7.62  0.03  0.01    2000   500   300  [SL63] 255         076.97917  -70.05667
KMHK451            -4.369  0.025  -0.622  0.008  -0.218  0.025  -0.124  0.061  10.00   7.62  0.13  0.12     300   350   100  KMHK451            075.43912  -67.56686
BSDL2093           -4.870  0.024  -0.664  0.012  -0.091  0.026  -0.117  0.053   7.28   7.62  0.10  0.13    1400   300   850  BSDL2093           082.72917  -69.36667
H88-61.H80F1-41    -5.119  0.018  -0.635  0.009   0.171  0.019   0.393  0.030   7.04   7.63  0.17  0.06     950   650   150  H88 61             074.62917  -69.16500
SL302.KMHK646      -5.650  0.027   0.018  0.019   0.449  0.031   0.134  0.048   9.00   7.63  0.02  0.03     400   150   150  [SL63] 302         077.93333  -70.06500
BSDL341            -3.874  0.035  -0.626  0.014  -0.102  0.036  -0.131  0.099   7.28   7.64  0.13  0.05     650    50   250  BSDL341            074.56250  -68.04833
HS153.BRHT48       -5.900  0.018  -0.381  0.013   0.205  0.021   0.089  0.034   7.19   7.66  0.05  0.11    1600   300   200  [HS66] 153         077.62387  -68.87264
SL280              -6.211  0.017  -0.188  0.012   0.400  0.020   0.302  0.030  10.00   7.67  0.15  0.32    1500  1000  1000  [SL63] 280         077.56758  -69.34136
SL341.BRHT8        -5.702  0.029  -0.399  0.023   0.265  0.035   0.198  0.043   7.18   7.68  0.04  0.13    1500   100   500  [SL63] 341         078.90492  -69.47347
H88-291            -5.313  0.014  -0.602  0.006   0.126  0.014   0.184  0.027   7.00   7.68  0.14  0.06    1500   700   200  H88 291            080.49583  -68.74667
BSDL433            -4.855  0.018  -0.616  0.008   0.291  0.019   0.252  0.033  10.00   7.68  0.04  0.03     850   150   100  BSDL433            075.31667  -68.14833
BSDL1142           -5.134  0.025  -0.755  0.014   0.105  0.027   0.185  0.040   7.18   7.69  0.05  0.01    1300   200   100  BSDL1142           079.45758  -69.69431
KMK88-32.H88-178   -5.539  0.019  -0.318  0.016   0.314  0.024   0.232  0.033   7.17   7.69  0.04  0.01    1100   200   150  KMK88 32           077.58429  -68.87711
KMHK451            -4.463  0.022  -0.633  0.008  -0.168  0.022  -0.161  0.061   6.54   7.69  0.03  0.05     700    50   250  KMHK451            075.43912  -67.56686
HS213              -5.794  0.024  -0.585  0.015   0.034  0.027   0.073  0.038   7.38   7.70  0.04  0.07    2700   300   200  [HS66] 213         079.48400  -69.58119
H88-247            -6.406  0.010  -0.554  0.007   0.025  0.012   0.101  0.019   7.43   7.70  0.03  0.14    4500   500  1000  H88 247            079.18596  -69.46192
BSDL1142           -5.201  0.032  -0.676  0.018   0.077  0.035   0.173  0.055  10.00   7.70  0.07  0.01    1400   200   100  BSDL1142           079.45758  -69.69431
SL358              -6.034  0.023  -0.158  0.019   0.367  0.028   0.294  0.037   7.16   7.71  0.14  0.29    1300   700   600  [SL63] 358         079.38925  -69.51478
HS223A             -5.150  0.037  -0.062  0.035   0.517  0.048   0.289  0.061   9.00   7.71  0.05  0.12     500    50   250  [HS66] 223A        079.71354  -69.37058
SL615.KMHK1143     -4.953  0.016  -0.088  0.015   0.646  0.021   0.395  0.030   9.48   7.71  0.16  0.13     500   150   200  [SL63] 615         084.26667  -68.72167
NGC1704.SL50       -7.364  0.008  -0.488  0.004   0.141  0.009   0.231  0.016  10.00   7.71  0.05  0.43    9000  1000  7000  NGC1704            072.47917  -69.75500
SL191              -7.000  0.011  -0.336  0.008   0.188  0.013   0.223  0.021   6.85   7.71  0.21  0.31    5000  3000  3300  [SL63] 191         075.77479  -69.03747
BSDL470            -6.381  0.006  -0.468  0.003  -0.025  0.006  -0.029  0.014   6.78   7.72  0.08  0.17    4000   500  1000  BSDL470            075.62500  -70.63500
BSDL1480           -5.054  0.030  -0.645  0.018   0.154  0.033   0.165  0.046   7.01   7.72  0.04  0.04    1300   100   200  BSDL1480           080.77500  -69.66833
H88-243            -5.036  0.029  -0.040  0.030   0.713  0.040   0.369  0.045   9.48   7.72  0.01  0.06     300   200    50  H88 243            079.05133  -69.28453
NGC1938.SL413      -5.892  0.021  -0.207  0.016   0.376  0.025   0.309  0.035   7.16   7.73  0.15  0.15    1400   400   400  NGC1938            080.35187  -69.94097
H88-268            -5.637  0.020  -0.490  0.014   0.248  0.023   0.140  0.034   7.18   7.73  0.09  0.16    1800   700   500  H88 268            079.60300  -69.48494
HS371.BRHT54a      -6.409  0.014  -0.292  0.007   0.166  0.015   0.062  0.028   8.02   7.73  0.44  0.21    2500  5000  1200  [HS66] 371         084.43750  -69.33500
SL424.KMHK831      -5.475  0.018  -0.076  0.010   0.126  0.020   0.150  0.036   7.89   7.73  0.15  0.04     650   250   100  [SL63] 424         080.59583  -68.16000
SL425              -6.523  0.009  -0.401  0.005   0.307  0.010   0.337  0.017   6.88   7.74  0.12  0.28    3700  1300  2000  [SL63] 425         080.60417  -68.78500
SL290.KMHK628      -5.532  0.023  -0.464  0.010   0.103  0.024  -0.027  0.051   7.61   7.75  0.18  0.08    1900   600   600  [SL63] 290         077.65000  -70.48667
BSDL1194           -5.195  0.024  -0.683  0.014   0.058  0.026   0.084  0.046   7.48   7.75  0.12  0.06    1600   600   400  BSDL1194           079.63750  -69.68667
HS191              -4.576  0.031  -0.148  0.030   0.644  0.041   0.430  0.049   9.48   7.75  0.03  0.03     400   100   100  [HS66] 191         078.71308  -69.42967
H88-281            -5.826  0.013  -0.063  0.011   0.503  0.016   0.209  0.024   9.00   7.76  0.14  0.32     750   950   550  H88 281            080.08750  -69.24667
HS174              -5.067  0.026  -0.058  0.019   0.508  0.031   0.341  0.046   9.00   7.76  0.33  0.04     500   600   300  [HS66] 174         078.12917  -69.75500
H88-255            -5.778  0.021  -0.471  0.013   0.101  0.023   0.145  0.034   7.60   7.77  0.12  0.15    2500   700   600  H88 255            079.36533  -69.35619
HS128              -4.523  0.031  -0.409  0.021   0.392  0.036   0.140  0.064   6.89   7.77  0.04  0.06     700    50   100  [HS66] 128         077.18162  -69.18294
HS228              -4.293  0.044  -0.048  0.044   0.797  0.058   0.410  0.078   9.48   7.77  0.08  0.12     200   100     0  [HS66] 228         079.85000  -68.88167
HS147.H88-174      -5.589  0.016  -0.425  0.007  -0.153  0.017  -0.053  0.034  10.00   7.77  0.04  0.10    1700   100   400  [HS66] 147         077.54646  -69.08750
BRHT4              -5.461  0.022  -0.392  0.016   0.185  0.026   0.170  0.034   7.18   7.77  0.14  0.12    1600   600   300  BRHT 4a;BRHT 4b    076.39912  -68.62847
HS253              -4.988  0.025  -0.064  0.016   0.303  0.028   0.194  0.042   8.80   7.77  0.18  0.11     400   250    50  [HS66] 253         080.51346  -70.04564
SL497.KMHK940      -5.341  0.015  -0.118  0.007   0.079  0.016   0.111  0.031   7.37   7.78  0.15  0.05     700   200   250  [SL63] 497         082.09583  -67.64167
NGC1749.SL93       -4.730  0.023  -0.477  0.010  -0.159  0.024  -0.144  0.056   6.54   7.78  0.17  0.16     800   800   500  NGC1749            073.73333  -68.18833
HS152              -5.019  0.026  -0.489  0.012  -0.078  0.027   0.023  0.059   7.23   7.78  0.19  0.27    1200  1000  1000  [HS66] 152         077.61612  -68.69856
SL423              -6.305  0.021  -0.442  0.015   0.071  0.025   0.117  0.037   7.64   7.79  0.04  0.30    4000   500  1800  [SL63] 423         080.56112  -69.51131
HS216              -4.868  0.043  -0.275  0.038   0.572  0.055   0.266  0.072   9.30   7.79  0.20  0.21     600   500   200  [HS66] 216         079.53304  -69.31539
H88-238            -5.705  0.018  -0.441  0.010   0.084  0.020   0.111  0.034   7.64   7.79  0.14  0.16    2200  1000   600  H88 238            078.94375  -69.24422
KMHK258            -4.335  0.025  -0.583  0.008  -0.114  0.025  -0.239  0.068   7.31   7.79  0.02  0.05     750   100   100  KMHK258            073.68750  -69.82333
BSDL430            -3.786  0.045  -0.566  0.020  -0.199  0.047  -0.231  0.127  10.00   7.80  0.06  0.10     350    50   150  BSDL430            075.28333  -68.20167
H88-284            -4.600  0.045  -0.365  0.034   0.351  0.054   0.339  0.076   6.88   7.80  0.12  0.10     750   100   250  H88 284            080.20062  -69.41533
H88-289            -4.926  0.022  -0.177  0.013   0.362  0.024   0.224  0.043  10.00   7.80  0.43  0.03     600  1200   300  H88 289            080.33333  -69.00833
H88-90.KMHK438     -3.795  0.055  -0.413  0.018  -0.247  0.055  -0.246  0.147  10.00   7.80  0.15  0.02     200   200     0  H88 90             075.31212  -67.53889
NGC1782.SL140      -8.293  0.004  -0.405  0.002   0.088  0.004   0.208  0.008   7.71   7.80  0.01  0.12   22000  1000  4000  NGC1782            074.46250  -69.39333
KMK88-8.H88-106    -5.247  0.021  -0.055  0.018   0.530  0.026   0.394  0.035   9.00   7.80  0.06  0.13     650   150   200  KMK88 8            076.12679  -69.15606
KMK88-14.H88-126   -4.906  0.033  -0.579  0.019   0.018  0.036   0.229  0.052   7.37   7.80  0.06  0.06    1300   100   200  KMK88 14           076.48067  -68.95133
SL402              -6.530  0.016  -0.395  0.011   0.114  0.018   0.145  0.027   7.73   7.81  0.06  0.27    4500   500  2000  [SL63] 402         080.09821  -69.58419
KMK88-29.H88-171   -5.815  0.023  -0.405  0.012   0.026  0.025   0.108  0.045   7.65   7.81  0.19  0.07    2200  1500   400  KMK88 29           077.42883  -68.80181
SL397              -6.820  0.009  -0.438  0.004  -0.053  0.009   0.047  0.017   7.22   7.81  0.01  0.03    6500   500   500  [SL63] 397         080.05000  -68.90500
H88-54.KMHK369     -5.629  0.011  -0.363  0.004  -0.107  0.011  -0.056  0.025   6.60   7.81  0.10  0.08    1600   600   400  H88 54             074.58750  -67.48000
H88-284            -4.639  0.051  -0.462  0.034   0.261  0.058   0.394  0.079  10.00   7.82  0.26  0.07     750   650   150  H88 284            080.20062  -69.41533
H88-291            -5.301  0.014  -0.516  0.006   0.043  0.014   0.192  0.027  10.00   7.82  0.03  0.06    1900   100   100  H88 291            080.49583  -68.74667
HS61.KMHK266       -4.093  0.032  -0.433  0.011  -0.160  0.032  -0.139  0.082   6.54   7.83  0.12  0.08     300   300   100  [HS66] 61          073.79583  -67.49833
NGC1854.SL265      -8.609  0.006  -0.404  0.004   0.062  0.007   0.120  0.010  10.00   7.83  0.01  0.06   33000  2000  4000  NGC1854            077.33375  -68.84800
KMK88-45           -5.116  0.024  -0.338  0.016   0.208  0.027   0.121  0.043   7.96   7.84  0.06  0.14    1100   200   200  KMK88 45           079.82912  -69.71419
BSDL1047           -4.543  0.041  -0.389  0.032   0.349  0.049   0.273  0.065   7.18   7.84  0.01  0.14     650    50   250  BSDL1047           078.88896  -69.53236
HS177              -4.482  0.044  -0.036  0.037   0.590  0.054   0.293  0.074   9.40   7.84  0.18  0.12     350   250   150  [HS66] 177         078.26500  -69.04989
HS182              -4.769  0.031  -0.378  0.016   0.046  0.033  -0.094  0.077   7.20   7.84  0.33  0.23     850  1150   650  [HS66] 182         078.50646  -68.94975
H88-69.H80F1-42    -5.019  0.018  -0.123  0.008   0.030  0.019  -0.028  0.041  10.00   7.84  0.18  0.06     550   300   100  H88 69             074.69167  -68.63833
NGC1702.SL46       -5.957  0.014  -0.460  0.005  -0.098  0.014  -0.036  0.032   7.30   7.84  0.03  0.44    3200   300  2400  NGC1702            072.35833  -69.85167
KMK88-27           -5.143  0.019  -0.186  0.011   0.167  0.021   0.061  0.036  10.00   7.84  0.17  0.04     750   450   100  KMK88 27           077.22083  -69.00333
HS169              -5.083  0.024  -0.542  0.014  -0.044  0.026   0.158  0.044   7.39   7.85  0.12  0.13    1800   400   600  [HS66] 169         078.03662  -69.27903
BSDL880            -4.685  0.025  -0.668  0.011   0.135  0.026   0.101  0.051   7.00   7.85  0.07  0.07    1200   300   300  BSDL880            078.11500  -69.55606
H88-119            -4.279  0.043  -0.545  0.020  -0.128  0.045  -0.187  0.092   7.27   7.85  0.05  0.16     800   100   350  H88 119            076.29050  -68.95661
BSDL1299           -4.785  0.037  -0.392  0.021   0.264  0.040   0.218  0.065   7.18   7.86  0.08  0.13     900   200   100  BSDL1299           080.12104  -69.74986
H88-283            -5.161  0.043  -0.435  0.031   0.171  0.050   0.311  0.064   7.19   7.86  0.22  0.13    1600   600   700  H88 283            080.10762  -69.57019
H88-210            -4.315  0.050  -0.365  0.034   0.361  0.057   0.125  0.090   6.88   7.86  0.10  0.08     550   150   100  H88 210            078.08817  -69.41147
HS200              -4.894  0.032  -0.263  0.028   0.506  0.040   0.382  0.052  10.00   7.86  0.23  0.25     900   400   450  [HS66] 200         078.89842  -69.13911
KMK88-31.H88-179   -4.540  0.035  -0.489  0.020   0.189  0.038   0.084  0.066   7.18   7.86  0.06  0.04     950   150   100  KMK88 31           077.57725  -69.07958
HS313.KMHK942      -4.078  0.032  -0.499  0.009  -0.113  0.032  -0.141  0.089  10.00   7.86  0.11  0.06     500   300   150  [HS66] 313         082.10417  -68.20500
KMK88-2            -5.181  0.021  -0.441  0.012   0.146  0.023   0.168  0.036   7.19   7.86  0.08  0.13    1600   400   300  KMK88 2            075.92554  -68.96842
HS220              -5.456  0.021  -0.205  0.012   0.130  0.023   0.185  0.037  10.00   7.86  0.18  0.08    1200   700   350  [HS66] 220         079.60417  -69.87500
BSDL1096           -4.471  0.044  -0.405  0.025   0.271  0.048   0.274  0.070   7.18   7.87  0.13  0.12     700   400   200  BSDL1096           079.11217  -69.67414
H88-279            -4.642  0.042  -0.455  0.028   0.166  0.048   0.084  0.076   7.18   7.87  0.06  0.04    1100   100   200  H88 279            080.00854  -69.26100
KMK88-28.H88-164   -4.682  0.031  -0.043  0.022   0.501  0.036   0.029  0.067  10.00   7.87  0.18  0.16     350   350   150  KMK88 28           077.30567  -69.11444
NGC1755.SL99       -9.068  0.002  -0.367  0.001   0.034  0.002   0.098  0.004  10.00   7.87  0.03  0.01   52000  3000  2000  NGC1755            073.80833  -68.20500
HS261              -5.335  0.035  -0.508  0.025   0.032  0.041   0.010  0.064   7.34   7.88  0.07  0.06    2200   300   300  [HS66] 261         080.74075  -69.62519
HS313.KMHK942      -4.008  0.031  -0.432  0.009  -0.142  0.031  -0.122  0.085   6.61   7.88  0.10  0.12     350   200   150  [HS66] 313         082.10417  -68.20500
KMHK975            -3.585  0.044  -0.398  0.014  -0.149  0.044   0.200  0.093  10.00   7.88  0.40  0.03     200   600     0  KMHK975            082.49583  -67.87833
H88-55.KMHK367     -4.577  0.035  -0.068  0.018   0.243  0.037   0.152  0.073   8.49   7.88  0.21  0.01     400   200   100  H88 55             074.55833  -67.76833
BSDL1263           -4.097  0.058  -0.226  0.065   0.707  0.082   0.597  0.077   9.48   7.89  0.04  0.05     250    50    50  BSDL1263           079.91250  -69.77333
OGLE-LMC0402       -5.046  0.032  -0.356  0.020   0.163  0.036   0.101  0.055   7.19   7.89  0.15  0.15    1300   500   300  OGLE-CL LMC 0402   080.48750  -69.61083
NGC1921.SL381      -5.853  0.022  -0.372  0.013   0.105  0.024   0.163  0.038   7.77   7.90  0.10  0.17    3000   500  1500  NGC1921            079.83333  -69.78833
KMK88-10.H88-120   -4.576  0.041   0.004  0.024   0.125  0.045  -0.109  0.087  10.00   7.90  0.15  0.10     300   150   100  KMK88 10           076.30725  -69.36997
KMK88-31.H88-179   -4.519  0.036  -0.416  0.023   0.173  0.041   0.086  0.068  10.00   7.90  0.07  0.06     900   200   100  KMK88 31           077.57725  -69.07958
KMHK327            -4.121  0.046  -0.055  0.027   0.675  0.050   0.388  0.084   9.48   7.91  0.20  0.21     350   150   150  KMHK327            074.14583  -70.42500
KMK88-48           -4.428  0.055  -0.355  0.038   0.276  0.064  -0.012  0.101   6.87   7.91  0.14  0.05     800   100   100  KMK88 48           080.14608  -69.68872
BSDL1104           -4.540  0.038  -0.409  0.025   0.178  0.043   0.225  0.066   7.18   7.91  0.06  0.10     900   200   100  BSDL1104           079.17917  -69.59667
BRHT10.H88-264     -5.870  0.027  -0.367  0.015   0.059  0.029   0.095  0.044   7.20   7.91  0.04  0.20    3000   200  1100  H88 264            079.54379  -69.54078
H88-240            -3.963  0.064  -0.160  0.070   0.656  0.089   0.311  0.098  10.00   7.91  0.03  0.16     250   100    50  H88 240            079.01471  -69.10256
BSDL1299           -4.641  0.036  -0.373  0.021   0.243  0.040   0.193  0.065  10.00   7.91  0.02  0.14     950    50   250  BSDL1299           080.12104  -69.74986
HS251              -5.606  0.042  -0.377  0.031   0.257  0.050   0.401  0.059   6.86   7.92  0.16  0.09    2200   800   500  [HS66] 251         080.43333  -69.57167
SL558              -5.662  0.016  -0.248  0.008   0.118  0.017   0.064  0.034   8.00   7.92  0.19  0.22    1800  1200   700  [SL63] 558         083.04883  -69.49475
HS390.KMHK1239     -4.389  0.022  -0.659  0.009   0.097  0.023   0.104  0.049   7.20   7.92  0.06  0.17     950   150   100  [HS66] 390         085.37500  -69.18500
KMHK1029           -3.373  0.047  -0.441  0.013  -0.157  0.046  -0.038  0.122   6.53   7.92  0.09  0.02     200   150     0  KMHK1029           082.98750  -67.87833
SL173.KMHK440      -4.597  0.024  -0.138  0.014   0.309  0.026   0.227  0.044   8.83   7.92  0.36  0.17     450   950   150  [SL63] 173         075.34358  -67.29478
H88-51.H80F1-34    -4.444  0.071   0.104  0.030  -0.007  0.073   0.230  0.133  10.00   7.92  0.06  0.05     200   100     0  H88 51             074.47083  -68.57667
KMK88-41.H88-212   -4.898  0.028  -0.484  0.015   0.097  0.030  -0.085  0.059   7.59   7.93  0.17  0.19    1600   600   700  KMK88 41           078.15854  -69.29250
HS369              -4.941  0.024  -0.435  0.014   0.124  0.026   0.126  0.043   7.19   7.93  0.01  0.14    1400   100   300  [HS66] 369         084.31250  -69.48667
H88-313            -4.312  0.027  -0.417  0.013   0.200  0.028   0.081  0.059   7.19   7.93  0.10  0.07     800   300   250  H88 313            085.33750  -69.06333
BSDL218            -4.713  0.019  -0.204  0.015   0.712  0.023   0.612  0.031  10.00   7.93  0.08  0.20     500   150   250  BSDL218            073.65000  -69.94333
HS136              -4.331  0.037  -0.002  0.035   0.519  0.048   0.236  0.071  10.00   7.93  0.13  0.06     300   100   100  [HS66] 136         077.41746  -69.21094
H88-112            -4.367  0.045  -0.008  0.036   0.465  0.055   0.255  0.077   8.98   7.93  0.14  0.06     250   150    50  H88 112            076.18704  -68.98439
BSDL1263           -4.183  0.059  -0.205  0.047   0.469  0.071   0.373  0.093  10.00   7.93  0.29  0.15     500   250   200  BSDL1263           079.91250  -69.77333
KMHK587            -4.908  0.022  -0.373  0.012   0.140  0.024   0.086  0.044   7.19   7.94  0.14  0.17    1200   800   500  KMHK587            077.13333  -70.44833
H88-263            -4.626  0.056  -0.564  0.027  -0.091  0.059   0.163  0.094   6.97   7.94  0.14  0.37    1300   300  1050  H88 263            079.45300  -69.41006
BSDL991            -4.325  0.046  -0.457  0.033   0.152  0.054   0.281  0.078   7.18   7.94  0.17  0.12     750   450   100  BSDL991            078.66583  -68.96339
H88-199            -4.525  0.034  -0.322  0.021   0.258  0.038   0.142  0.069   8.66   7.94  0.01  0.12     750    50   250  H88 199            077.86783  -68.85100
BSDL2824           -4.562  0.020  -0.428  0.008   0.084  0.020   0.122  0.042   7.66   7.94  0.07  0.03    1200   100   200  BSDL2824           085.42917  -69.00333
BRHT2b.KMHK340     -4.811  0.025  -0.268  0.022   0.382  0.032   0.288  0.047   7.16   7.95  0.11  0.15    1000   300   550  BRHT 2b            074.23542  -70.42750
H88-270            -3.882  0.072  -0.353  0.060   0.499  0.088   0.498  0.103  10.00   7.95  0.17  0.13     350   350   150  H88 270            079.69583  -69.27667
H88-289            -5.018  0.024  -0.240  0.013   0.376  0.026   0.193  0.049  10.00   7.95  0.21  0.30     950   950   600  H88 289            080.33333  -69.00833
BSDL1750           -5.101  0.019  -0.468  0.009   0.006  0.020   0.124  0.037   7.54   7.95  0.01  0.08    2000   200   200  BSDL1750           081.69583  -69.00833
SL399.KMHK799      -5.272  0.019  -0.114  0.009   0.114  0.020  -0.012  0.042   6.83   7.95  0.02  0.19    1000   100   350  [SL63] 399         080.08712  -70.76839
KMHK707e           -5.401  0.025  -0.310  0.013   0.168  0.027   0.205  0.047   8.00   7.95  0.16  0.03    1900   800   200  NAME KMHK707e      079.05417  -70.50278
KMK88-9.H88-110    -4.300  0.050  -0.004  0.039   0.316  0.060   0.143  0.091   8.82   7.96  0.02  0.05     250   150    50  KMK88 9            076.17229  -69.24739
SL270.KMHK596      -4.252  0.048   0.011  0.024   0.016  0.051   0.040  0.102  10.00   7.96  0.03  0.03     200   100     0  [SL63] 270         077.28750  -70.61333
OGLE-LMC0414       -4.901  0.033  -0.093  0.025   0.448  0.039   0.251  0.055   8.97   7.97  0.28  0.21     700   800   400  OGLE-CL LMC 0414   080.68823  -69.90159
H88-227            -4.444  0.056  -0.257  0.036   0.231  0.063   0.116  0.097   8.12   7.97  0.06  0.13     700   100   250  H88 227            078.57350  -69.10025
H88-226            -4.721  0.031  -0.256  0.022   0.405  0.036   0.255  0.055   8.94   7.97  0.13  0.26     950   250   500  H88 226            078.56667  -69.03667
H88-55.KMHK367     -4.226  0.042   0.001  0.019   0.055  0.044   0.003  0.094  10.00   7.97  0.17  0.04     250   400    50  H88 55             074.55833  -67.76833
KMK88-47           -4.945  0.037  -0.290  0.026   0.099  0.043   0.046  0.071   7.89   7.97  0.16  0.07    1100   700   100  KMK88 47           079.98896  -69.69100
H88-265            -4.828  0.030  -0.412  0.019   0.104  0.034   0.168  0.051   7.69   7.98  0.04  0.13    1500   100   400  H88 265            079.52125  -69.17161
HS166              -4.423  0.043  -0.288  0.023   0.259  0.046   0.065  0.079   8.19   7.98  0.15  0.13     700   500   200  [HS66] 166         078.05500  -68.95125
HS56.KMHK218       -4.848  0.020  -0.420  0.008  -0.026  0.020  -0.031  0.049   6.79   7.98  0.12  0.35    1600   400  1300  [HS66] 56          073.40000  -67.87167
HS99.KMHK483       -4.235  0.044  -0.141  0.023   0.404  0.047   0.249  0.078   8.94   7.99  0.14  0.18     400   200   100  [HS66] 99          075.80833  -70.09167
BSDL691            -4.016  0.047  -0.329  0.027   0.260  0.052   0.239  0.085   7.16   7.99  0.04  0.11     500   100   100  BSDL691            077.01667  -70.02833
NGC1860.SL284      -6.132  0.020  -0.307  0.011   0.101  0.022   0.087  0.040   7.20   7.99  0.15  0.39    4000  1500  2600  NGC1860            077.66612  -68.75361
HS49               -3.899  0.045  -0.497  0.018  -0.123  0.046   0.086  0.090   7.28   7.99  0.07  0.25     800   200   600  [HS66] 49          073.13333  -69.39000
KMK88-50           -4.394  0.040  -0.156  0.025   0.254  0.045   0.154  0.077   8.21   7.99  0.32  0.17     500   800   200  KMK88 50           080.34487  -69.90931
SL251.KMHK574      -6.276  0.019  -0.298  0.009   0.172  0.020   0.188  0.039   8.02   8.00  0.05  0.46    4500   500  3000  [SL63] 251         076.99583  -69.87500
H88-172            -4.144  0.046  -0.435  0.020   0.190  0.048   0.018  0.094  10.00   8.00  0.05  0.08     800   200   200  H88 172            077.48254  -69.33064
BSDL274            -4.527  0.024  -0.477  0.010  -0.097  0.025   0.007  0.053   7.23   8.00  0.05  0.36    1400   200  1200  BSDL274            074.04583  -68.88833
BRHT38b.KMHK1032   -4.728  0.019  -0.343  0.007  -0.041  0.019   0.016  0.044   7.21   8.00  0.15  0.09    1400   500   300  BRHT 38b           082.99542  -67.97056
KMHK1047           -6.540  0.009  -0.327  0.004   0.054  0.009   0.069  0.019  10.00   8.00  0.04  0.49    6000  1000  4100  KMHK1047           083.07500  -68.87500
SL285.KMHK629      -4.886  0.038  -0.038  0.023   0.407  0.042  -0.283  0.114  10.00   8.01  0.50  0.21     600  2400   250  [SL63] 285         077.66667  -70.37333
KMHK461            -3.806  0.052  -0.419  0.020   0.123  0.053   0.157  0.115   7.70   8.01  0.15  0.05     600   100   100  KMHK461            075.46250  -69.92000
BSDL948            -4.378  0.038  -0.257  0.023   0.205  0.042   0.022  0.080   8.10   8.01  0.04  0.14     750   150   300  BSDL948            078.47487  -69.40525
SESG1              -4.351  0.031  -0.448  0.017   0.233  0.034  -0.124  0.073   7.18   8.01  0.18  0.08     950   550   400  SESG C1            083.89167  -69.39667
KMK88-63           -4.748  0.024  -0.384  0.013   0.099  0.026   0.110  0.048   7.20   8.01  0.05  0.14    1400   200   450  KMK88 63           082.82917  -68.81667
SL154.H88-73       -4.868  0.024  -0.044  0.013   0.251  0.026   0.025  0.050  10.00   8.01  0.49  0.21     550  2450   350  [SL63] 154         074.80833  -67.90833
HS56.KMHK218       -4.786  0.021  -0.467  0.007  -0.044  0.021  -0.034  0.051   6.78   8.01  0.12  0.39    1700   300  1400  [HS66] 56          073.40000  -67.87167
H88-59.H80F1-37    -3.972  0.045   0.043  0.028   0.187  0.050  -0.111  0.112  10.00   8.01  0.03  0.11     200    50     0  H88 59             074.56667  -68.82167
H88-245            -4.265  0.045  -0.275  0.036   0.421  0.055   0.122  0.089   8.93   8.02  0.22  0.22     550   650   350  H88 245            079.11100  -69.08028
H88-34.KMHK285     -3.663  0.047  -0.097  0.022   0.034  0.049  -0.109  0.121  10.00   8.02  0.02  0.05     300    50   100  H88 34             073.91250  -67.82167
KMK88-29.H88-171   -4.901  0.027  -0.292  0.015  -0.047  0.029   0.063  0.053   7.32   8.02  0.09  0.19    1300   700   450  KMK88 29           077.42883  -68.80181
HS336              -3.767  0.053  -0.453  0.027   0.101  0.057   0.248  0.109   7.63   8.03  0.13  0.09     600   250   100  [HS66] 336         082.73333  -69.10667
H88-278            -4.837  0.036  -0.052  0.025   0.112  0.042   0.001  0.076   6.83   8.03  0.02  0.20     600   150   200  H88 278            079.98950  -69.41744
BSDL1650           -4.046  0.038  -0.336  0.019   0.148  0.040   0.113  0.073   7.90   8.03  0.11  0.06     800   100   250  BSDL1650           081.45417  -68.82500
KMHK985            -5.019  0.016  -0.218  0.007   0.044  0.017  -0.088  0.039  10.00   8.03  0.01  0.05    1400   100   300  KMHK985            082.56667  -68.45833
SL280              -6.220  0.017  -0.275  0.011   0.291  0.019   0.340  0.028   6.95   8.03  0.02  0.36    4000   500  2200  [SL63] 280         077.56758  -69.34136
H88-184            -4.120  0.054  -0.249  0.023  -0.030  0.056   0.011  0.107  10.00   8.03  0.23  0.13     700   600   400  H88 184            077.66712  -69.27403
H88-111            -4.933  0.025  -0.277  0.019   0.415  0.030   0.425  0.039  10.00   8.03  0.17  0.17    1200   500   300  H88 111            076.17083  -69.05167
