#
# [ASteCA v0.1.9-beta]
#
# Modified: 2015-05-29 14:15:26
#
# NAME: Cluster's name.
# c_x: Cluster's x center coordinate.
# e_x: Cluster's x center coordinate error.
# c_y: Cluster's y center coordinate.
# e_y: Cluster's x center coordinate error.
# r_cl: Cluster's radius.
# e_rcl: Cluster's radius error.
# r_c: Core radius (3-P King profile).
# e_rc: Core radius error.
# r_t: Tidal radius (3-P King profile).
# e_rt: Tidal radius error.
# kcp: King's profile concentration parameter.
#
# CI: 'Contamination index' is a  measure of the contamination of field
#      stars in the cluster region. The closer to 1, the more contaminated 
#      the cluster region is.
# n_memb_k: Approximate number of cluster's members obtained integrating the
#         fitted 3-P King profile (if it converged).
# n_memb: Approximate number of cluster's members assuming a uniform
#       background.
# n_memb_da: Approximate number of cluster's members obtained via the DA
#          algorithm.
# memb_par: Members parameter comparing the approximate structural number of
#           members ('n_memb') with the approximate photometric number of
#           members ('n_memb_da').
# a_f: Fraction of cluster's area that is present in frame.
# prob_cl: Statistical comparision of cluster vs field KDEs. It is obtained
#          as 1 minus the overlap area between the KDEs. If the KDEs are
#          very similar this value will be low indicating the overdensity is
#          probably not a true cluster.
# int_col: Integrated color magnitude for all stars inside the cluster
#          radius, except those that were rejected due to large errors.
# met: Metallicity value (z).
# e_m: Metallicity error.
# age: log(age).
# e_a: log(age) error.
# E(B-V): extinction.
# e_E: Extinction error.
# dist: Distance modulus.
# e_d: Distance error.
# M_i: Total initial mass.
# e_M: Mass error.
# bin_fr: Binary fraction.
# e_bf: Binary fraction error.
#
# M1 Indicates that the center was set manually.
# M2 Indicates that the radius was set manually.
#
# f1 Either median cluster's central coordinates (obtained using several
#    standard deviation smoothing values) is more than 10% away from the
#    central position assigned.
# f2 The standard deviation for either center coordinate is larger than 10%
#    of the coordinate's value.
# f3 The background value is smaller than a third of the maximum radial
#    density value.
# f4 Not enough points found stabilized around the background value -->
#    clust_rad was set to the middle value in the density profile.
# f5 The delta range around the background used to attain the stable
#    condition to determine the radius is greater than 10%%. This indicates
#    a possible variable background.
# f6 The process to fit a 3-P King profile to the density points did not
#    converge or did so to a tidal radius beyond the ranges of the frame.
# f7 No error rejection was possible.
# f8 The function had to fall back to the 'e_max'-based rejection method
#    since the selected one failed.
# f9 The number of approximate structural cluster members ('n_memb') is < 10.
# f10 The number of approximate structural and photometric cluster members
#     differ greatly --> abs(n_memb_par) > 0.33.
#
# FC (flags count): Sum of all the flags values. The bigger this value the
#    more likely it is that there's a problem with the frame, ie: no cluster,
#    more than one cluster present in the frame, variable or too crowded
#    field, etc.
#
#
########################################################################
#  2nd run NOT COMPLETE. Six clusters (NGC1917, SL579, SL588, LW54, NGC419,
#  SL244) were not processed for lack of time.
#
#NAME                 c_x      e_x      c_y      e_y     r_cl    e_rcl      r_c     e_rc      r_t     e_rt      kcp      CI   n_memb_k     n_memb  n_memb_da  memb_par     a_f  prob_cl  int_col      met      e_m      age      e_a   E(B-V)      e_E     dist      e_d      M_i      e_M   bin_fr     e_bf      M1 M2  f1 f2 f3 f4 f5 f6 f7 f8 f9 f10  FC
# v Processed twice (by mistake). Pick one.
H88-331            1714.0      2.0   5027.0      2.0     80.0     10.0     12.0      1.0     -1.0     -1.0    -1.00    0.72         -1         66        114     -0.27    1.00    -1.00     0.94    0.015    0.003      8.9      0.2     0.04     0.09     18.4      0.1   1200.0    200.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
H88-331            1714.0      2.0   5027.0      2.0     80.0     10.0     12.0      1.0     -1.0     -1.0    -1.00    0.72         -1         66        114     -0.27    1.00    -1.00     0.94    0.012    0.003      8.8      0.2     0.14     0.08     18.6      0.1   1000.0    300.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
HW42               7173.0      2.0   7807.0      2.0     70.0     20.0     29.0      3.0    160.0     10.0     0.74    0.82         45         19          0      1.00    1.00    -1.00     1.56    0.012    0.004      8.9      0.2     0.06     0.03     19.0      0.1    200.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   1   2
HW85               505.23      0.0   841.63      0.0     60.0      0.0      9.5      0.6    160.0     80.0     1.23    0.14         28         23         19      0.10    1.00    -1.00     1.02    0.001    0.003      9.3      0.2     0.02     0.04     19.1     0.07   2400.0    500.0      0.5     -1.0       0  0   0  0  0  0  0  0  0  0  0   0   0
B112               7040.0      0.0   5200.0      0.0    110.0      0.0    100.0    700.0     -1.0     -1.0    -1.00    1.00         -1          0        154     -1.00    1.00    -1.00     0.34    0.008    0.004      9.0      0.7     0.02     0.05     18.9     0.08    800.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   1   4
BS88               7346.0      2.0    852.0      2.0    120.0     30.0     18.0      4.0     -1.0     -1.0    -1.00    0.92         -1         39          0      1.00    1.00    -1.00     3.50    0.002    0.004      9.5      0.2     0.02     0.02     19.1      0.1    800.0    500.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
BSDL268            5040.0      0.0   3290.0      0.0    216.8      0.0    200.0    200.0    230.0     50.0    -0.00    1.11        -58          0        309     -1.00    1.00    -1.00    -0.04    0.012    0.004     6.85     0.07     0.16     0.03     18.7      0.1   1400.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  1   1   3
H88-269            2760.0      0.0   4314.0      0.0     73.0      0.0    400.0    500.0    290.0     60.0    -0.11    0.86        136         25        105     -0.62    1.00    -1.00     0.06    0.015    0.005      7.0      1.0     0.24     0.05     18.4      0.1   1400.0    300.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   1   2
HS329               169.0      2.0   7487.0      2.0    110.0     20.0     42.0      6.0    300.0    100.0     0.89    0.77        114         85         92     -0.04    1.00    -1.00     4.32    0.001    0.005      9.4      0.7     0.04     0.03     18.7      0.1   2000.0   1000.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   0   1
BSDL677            7170.0      2.0   5065.0      2.0     50.0     10.0     30.0     10.0    130.0     70.0     0.71    0.81         23         17          5      0.55    1.00    -1.00    -0.34    0.015    0.004      7.9      0.6     0.06     0.02    18.45     0.07    200.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   1   2
